model_abbr,website_url,repo_url,citation,methods,methods_long,data_inputs,model_main,mathematical_type,mathematical_detail,empirical_type,empirical_detail,latest citation,check
ICM-agentModel,https://covid-19.icm.edu.pl/en/model-description/,NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4039054,Agent-based model,The main idea behind our agent-based model is a representation of the social structure of population of Poland to the level of individual citizen and its social contacts. Our model has resolution in space and contexts. It means it can follow development of epidemic on geographical grid in 1x1km resolution as well as through physical contact in various characteristic contexts of social life.,"Polish Ministry of Health (general epidemic data: number of cases, deaths, etc.) and Polish National Institute for Public Health (Detailed epidemic data: time of hospitalization, age, symptoms, contact tracing etc.)",Empirical,NA,NA,freq,abm,NA,NA
IEM_Health-CovidProject,https://iem.com/,NA,NA,SEIR model projections for daily incident confirmed COVID cases and deaths by using AI to fit actual cases observed.,"IEM is currently using an AI model to fit data from various sources  and project new cases of COVID-19. We do not assume the average number of secondary  infections (R-value) stays the same over time. Our model makes projections for  over 375 individual counties in the U.S., all 50 states, the District of Columbia,  3 U.S. territories, and 32 European countries. For each jurisdiction, our model runs 4 million simulations  to find the best R value that would allow the SEIR model to fit the data for confirmed  cases. Our model assumes that the R value changes quite rapidly over time due to changes  in human behavior. Our model uses a sliding window to fit the data and find the best  R values for each of the windows.",JHU reported daily confirmed cases and deaths,Semi-mechanistic,ode,seir,freq,ml,NA,NA
ILM-EKF,https://github.com/Stochastik-TU-Ilmenau,NA,NA,Extended Kalman filter based on reproduction equation,"We use the reproduction equation to obtain a state space model whose states  comprise incidences, the current reproduction number, the generation time distribution,  as well as fraction of deaths by delay. An extended Kalman filter is used to fit this model  and obtain forecasts. Quantiles for the latter are obtained from a log-normal distribution  with mean and variance given by the prediction steps.",JHU,Semi-mechanistic,state-space,NA,?,kalman filter,NA,TRUE
Imperial-DeCa,https://mrc-ide.github.io/covid19-short-term-forecasts,https://github.com/mrc-ide/covid19-forecasts-orderly,NA,Uses both cases and deaths to estimate an observed CFR. Projections are based on the estimated CFR.,NA,Cases and deaths from WHO dashboard,Empirical,NA,NA,?,NA,NA,NA
Imperial-sbkp,https://mrc-ide.github.io/covid19-short-term-forecasts,https://github.com/mrc-ide/covid19-forecasts-orderly,NA,Optimises the window over which reproduction number is assumed to be constant.,NA,Deaths from WHO dashboard,Empirical,NA,NA,bayes,renewal eqn,NA,TRUE
itwm-dSEIR,https://www.itwm.fraunhofer.de/,NA,https://www.itwm.fraunhofer.de/content/dam/itwm/de/documents/PressemitteilungenPDF/2020/20200429_Bericht_Prognosemodelle-f%C3%BCr-die-Coronapandemie.pdf,Integral equation model based on age cohorts taking into account vaccination and testing. The parameters are adjusted to the counted cases and deaths.,"Fraunhofer-ITWM's predictions are based on a cohort model that groups people according to four age groups and according to the status infected, detected and successfully vaccinated. The dynamics of the epidemic are described by integral equations. In particular, we assume an infectious period with fixed onset, end and infectivity. The most important parameters are contact rates between age groups, detection rates and times, and death rates and times. They are adjusted to the historical data of the RKI. For forecasts, the simulation is continued with the parameters determined for the last week. In principle, the forecast quality could still be improved by anticipating the effects of events such as the end of public holidays on contact and detection rates. However, this is not yet done in the automatic submissions. All calculations use automatic differentiation. This speeds up parameter adjustment and allows for error estimates. The latter are determined by comparing counted and simulated cases and by matching the empirical standard deviations with the standard deviations predicted by the calculated sensitivities. The model is described in detail in https://www.itwm.fraunhofer.de/de/presse-publikationen/presseinformationen/2021/2021-06-22_Dritte_Welle_Starker-Effekt-von-Schnelltests-an-Schulen.html",RKI,Mechanistic,NA,NA,?,NA,NA,NA
JBUD-HMXK,https://joebud.github.io/covid-19-analyses/,NA,NA,"Heavily modified infection-age SIR-X model with waning immunity, vaccinations, seasonality and undetected cases.",See GitHub for full description,See GitHub for full description,Mechanistic,ode,sir+,NA,NA,NA,NA
Karlen-pypm,https://pypm.github.io/home/,NA,https://arxiv.org/abs/2007.07156,Discrete-time difference equations with long periods of constant transmission rate,NA,"JHU (cases and deaths), Google open-data (vaccinations), GISAID (genomic data)",Mechanistic,discrete time-diff eqns,NA,NA,NA,https://arxiv.org/abs/2007.07156,NA
KITmetricslab-bivar_branching,https://github.com/jbracher/branching_process_delta,NA,NA,"Delta-variant and other cases are modelled as independent branching processes, with weekly growth\ \ rates following random walks. Forecasts for 3 and 4 wk are likely unreliable.","The total weekly incidence is modelled as the sum of two independent overdispersed branching processes (delta / non-delta cases; may be updated to other pairs of variants later), with the weekly  growth rates following multiplicative random walks. Sequencing data are included via an additional binomial observation process with the probabilities for the two variants proportional to their occurrence in the two  latent branching processes. Posterior samples are generated using the JAGS software. Priors were chosen as 'uninformative' uniform distributions, but may be specified in a more informative fashion in the future. In order to be included in the ensemble forecasts are generated up to 4 wk into the future, but given the simple model structure, three and four-week-ahead forecasts should be interpreted with caution.","JHU (confirmed cases), RKI sequencing data (variants)",Empirical,NA,NA,bayes,branching process,NA,NA
LANL-GrowthRate,https://covid-19.bsvgateway.org/,NA,NA,"This model makes predictions about the future, unconditional on particular intervention strategies. Statistical dynamical growth model accounting for population susceptibility.","This model makes predictions about the future, unconditional on particular  intervention strategies. The model consists of two processes. The first process  is a statistical model of how the  number of COVID-19 infections changes over time. The second process maps the number of  infections to the reported data. We model the growth of new cases as the product of a  dynamic growth parameter and the underlying numbers of susceptible and infected cases  in the population at the previous time step, scaled by the size of the state's starting  susceptible population. Change 2020-10-29: The growth parameter can be thought of as the transmissibility of the virus in that state on that date and is a weighted regression between the   trend in the growth rate over the past 42 days and a growth rate that would keep  the number of new daily confirmed cases constant. The weights of these two components are dynamically tuned to the observed data. To model new deaths in the population, we assume that a fraction of the 1,2,3,4, or 5-week moving average of the daily  confirmed cases will die. The model learns both the moving average window and the case fatality fraction that best fits the historical observations.","JHU (confirmed cases; reported fatalities), population",Empirical,NA,NA,bayes,weighted regression of growth rates,https://covid-19.bsvgateway.org/static/COFFEE-methodology.pdf,NA
LeipzigIMISE-SECIR,https://github.com/holgerman/covid19-forecast-hub-europe,https://github.com/holgerman/covid19-forecast-hub-europe,NA,SECIR type model,"We integrate an adapted mechanistic epidemiologic model of the SECIR type into Input-Output Non-Linear Dynamical Systems (IO-NLDS) serving as hidden layers, i.e. the true dynamics cannot directly be observed. Thereby, we include an asymptomatic compartment, a compartment of patients requiring intensive care, and subdivide most of the compartments into three sub-compartments to model time delays.  Changing factors of the system due to non-pharmaceutical interventions, changing age-structure of infected population, and changes in testing policy are imposed as inputs to the system. We then estimate parameters by a knowledge synthesis process considering parameter ranges derived from external studies and public data. Specifically, we use Bayesian inference for the parameters’ estimation, which can also be time-dependent. Public data is translated to model outputs not identical but related to hidden states of the model. The model is fitted to data by a full information approach.","RKI and DIVI, ECDC, age distributions for cases and deaths from RKI as described in methods, case & ICU  & death counts",Mechanistic,ode,secir,bayes,NA,NA,NA
MIMUW-StochSEIR,https://covid19.mimuw.edu.pl,NA,https://arxiv.org/abs/2007.07156,Extended SEIR model,SEIR model with extensions:  introduction of the undiagnosed compartment; testing limits  influencing number of diagnosed cases; stochastic perturbations of time-dependent contact rate,tba,Mechanistic,ode,seir+,?,NA,https://arxiv.org/abs/2007.07156,NA
MIT_CovidAnalytics-DELPHI,https://www.covidanalytics.io/,https://github.com/COVIDAnalytics/DELPHI,https://www.covidanalytics.io/DELPHI_documentation_pdf,This model makes predictions for future cases based on a heavily modified SEIR model taking into account underdetection and government intervention. Current interventions are assumed to continue.,"This model makes predictions for future cases based on a heavily modified SEIR model. New states are added to the SEIR model to account for cases that went undetected, and an explicit death state is included. The infection rate is corrected with a nonlinear curve that represents the governmental and societal response (which is assumed) to continue until the end of the pandemic). Key parameters for the disease are fixed using a metanalysis conducted by the CovidAnalytics group of over 150 parameters while epidemiological parameters are fitted to hisorical death counts and detected cases.","JHU, New York Times",Mechanistic,ode,seir+,freq,NA,NA,TRUE
MOCOS-agent1,https://mocos.pl/,NA,https://www.medrxiv.org/content/10.1101/2020.03.25.20043109v2,Agent-based microsimulation model,"Agent based model. Continuous time stochastic microsimulation on the base of census data for household composition , age distribution, working places etc.). Model includes contact tracing - classic and app based- , testing and quarantine . All relevant duration times like incubation time , time till hospitalization, time till testing are sampled fom distributions based on empirical data",tba,Empirical,NA,NA,?,abm,https://www.medrxiv.org/content/10.1101/2020.03.25.20043109v2,NA
MUNI-ARIMA,https://krausstat.shinyapps.io/covid19global/,NA,NA,ARIMA model with outlier detection fitted to transformed weekly aggregated series.,This is an ARIMA model with outlier detection fitted to transformed weekly aggregated series.,JHU CSSE,Empirical,NA,NA,freq,arima,NA,NA
MUNI-VAR,https://krausstat.shinyapps.io/covid19global/,NA,NA,Vector autoregression model fitted to outlier-corrected transformed weekly aggregated series.,This is a vector autoregression model fitted to outlier-corrected transformed weekly aggregated series.,JHU CSSE,Empirical,NA,NA,freq,vector autoregression,NA,NA
MUNI_DMS-SEIAR,https://webstudio.shinyapps.io/MAMES/,NA,NA,SEIAR model with A compartment of absent unobserved infected estimated from hospital data with incorporated mobility data dependence; optimized to the compartment of all exposed (unobserved included),"This is a model based on a mechanistic compartmental approach, where some parameters are taken from literature, some parameters are estimated from an anonymized dataset of confirmed subjects. It estimates moving ascertainment rate using data of hospitalized subjects (using a proportion of cases not caught before admission to hospital), so it estimates not only the observed part of the epidemic (compartment I) but also the undetected absent infected (compartment A). The model incorporates transmission rate estimate dependence on mobility data and immunization after vaccination and optimizes affected clusters' size to estimate all exposed individuals using the moving ascertainment rate estimate. To model deaths, we incorporated fixed time delay from positivity report to death estimated from data. Currently, we assume around 0.44% IFR, a simple division of the age structure 0-20/20-65/65+ is used. The model estimates continuously from the first outbreak (spring 2020), the prevalence corresponds to the Czech prevalence study from May 2020 as well as to December community test screenings. We incorporated dominance of alpha variant at the beginning of the year 2021 by multiplying the transmission rate by 1.5 (the estimate is based on data that reveal evidence on its dependence on the number of risk contacts - study PAQ research https://zivotbehempandemie.cz/kontakty or mobility data). With the dominance of alpha variant we increased the probability of hospitalization by factor 1.3 and the conditional probability of death in case of hospitalization by factor 1.1. There is a significant decline of death rate of 65+ cohort in hospitals from the second half of March.  We started to adjust its value to estimated 0.36% daily decrease based on fit to data of hospitalized positive subjects (starting form submission 2021-05-10). Thanks to time series of vaccinated we could compare two different estimates of the probability of hospitalization and we deduced that we underestimated the prob. of hospitalization and overestimated the size of the affected clusters, and that 1/100 (starting from 2021-03-15) now seems more appropriate than 1/160 (starting from submission 2021-06-07). We incorporated dominance of delta variant. We assume the transmisibility of the delta varinant is 1.4 times higher than the alpha variant (submissions 2021-07-12, 2021-07-19). Starting from submission 2021-07-26 during the summer time we work again without incresed transmissibility of the delta variant. Starting from 2021-09-25 we increased the transmissibility of the delta variant to 1.8 times higher value than the alpha variant value. Starting from 2021-12-20 we gradually increased the virus's transmissibility according to the ratio of the omicron variant in discriminated PCRs with a multiplicative coefficient 2.61 according to delta variant. We started to decrease the probability of hospitalization and death proportionally. We changed the model from SEIAR to SEIARS.  We submit a single calibration to forecast deaths and cases while the prediction intervals are estimated using time series decomposition. Especially, we subtract a deterministic trend given by the SEIARS model.","UZIS data for predictive models (anonymized set modely_05_datumy.csv of confirmed subjects https://onemocneni-aktualne.mzcr.cz/api/account/dokumentace), google mobility reports (https://github.com/ActiveConclusion/COVID19_mobility/tree/master/google_reports)",Mechanistic,ode,seiar,?,NA,NA,NA
PL_GRedlarski-DistrictsSum,https://docs.google.com/spreadsheets/d/e/2PACX-1vRpH4yhKRts7Co5tydhZhojIPTcTTybms1PqJ9j1tmSBzzPLoU2U9XjUWDwiKYxnE6gMLayl71rpGC8/pubhtml?gid=493251550&single=true,NA,NA,"Modified SIR method, applied to all districts. Forecasts for districts are summed up.",Generating forecasts for all districts including historical data analysis. Then the numbers of cases from all districts are summed up.,data provided by the Ministry of Health https://wojewodztwa-rcb-gis.hub.arcgis.com/pages/dane-do-pobrania,Mechanistic,ode,sir,?,NA,NA,NA
prolix-euclidean,https://cp.lpmib.fr/medias/covid19/_synthese.html,NA,NA,"Offsets obtained by correlations, best linear approximation of reproduction rates (using vaccination  approximation) by least euclidean distance, and linear prediction.",NA,NA,Empirical,NA,NA,freq,linear from R,https://www.medrxiv.org/content/10.1101/2021.04.13.21255418v1,NA
RobertWalraven-ESG,http://rwalraven.com/COVID19,NA,NA,Multiple skewed gaussian distribution peaks fit to raw data,"The incremental cases and deaths of a single outbreak predicted by a simple SEIR model can be approximated closely with a particular skewed gaussian distribution that we developed that has four empirical parameters: height, position, left growth rate, and right decay rate. The ESG model assumes the JHU data consists of independent outbreaks at different times, and fits multiple peaks to the data, keeping the number of peaks to a minimum in order to fit with high accuracy the data after Loess smoothing.  The most recent peaks are then used to generate a daily forecast forward three months.  Hospitalization data and the pattern of older peaks is used to visually confirm the forecasts look correct and if not, manual adjustments are made to the forecast. The ESG model is a emperical mathematical model that makes no epidemiological assumptions and has no epidemiological parameters, so can serve as a baseline forecast against which to compare SEIR-based models.",Existing case and death raw JHU data plus hospitalization data from HealthData.gov.,Empirical,NA,NA,freq,gaussian peak finding + manual adjustment,NA,NA
SDSC_ISG-TrendModel,https://renkulab.shinyapps.io/COVID-19-Epidemic-Forecasting/,https://renkulab.io/gitlab/covid-19/covid-19-forecast,https://renkulab.shinyapps.io/COVID-19-Epidemic-Forecasting/,The Trend Model predicts daily cases and deaths using linear extrapolation on the linear or log scale of the underlying trend estimated by a robust LOESS seasonal-trend decomposition model.,"Our forecasts are based on the reported numbers of cases and deaths at the country or regional level. Our modeling substantially relies on estimation of the underlying trend by a robust LOESS seasonal-trend decomposition model, which allows to account for non-stationary weekly seasonality, outliers, missing data and delayed reports. To further predict daily cases and deaths we use linear extrapolation of the estimated smooth trend either on the original or on the logarithmic scale.",JHU CSSE (confirmed cases; reported fatalities),Empirical,NA,NA,freq,seasonal loess decomposition + linear extrapolation,NA,NA
Statgroup19-richards,https://statgroup19.shinyapps.io/Covid19App/,NA,https://doi.org/10.1002/sim.9004,Richards' curve based generalized growth model,NA,Github repository of Italian Civil Protection,Empirical,NA,NA,bayes,NA,NA,NA
Statgroup19-spatialrichards,https://statgroup19.shinyapps.io/Covid19App/,NA,https://doi.org/10.1016/j.spasta.2021.100544,Richards' curve based generalized growth model taking into account spatial dependence,NA,Github repository of Italian Civil Protection,NA,NA,NA,NA,NA,NA,NA
UB-BSLCoV,https://dmorina.shinyapps.io/UB-CoV/,NA,https://arxiv.org/abs/2003.09202,Bayesian synthetic likelihood estimation for underreported non-stationary time series,NA,JHU (https://github.com/epiforecasts/covid19-forecast-hub-europe/wiki/Targets-and-horizons#truth-data),NA,NA,NA,NA,NA,NA,NA
UC3M-EpiGraph,https://www.arcos.inf.uc3m.es/epigraph/,NA,https://doi.org/10.3389/fpubh.2021.636023,Agent-based parallel simulator that models individual interactions extracted from social networks and demographical data.,NA,NA,NA,NA,NA,NA,NA,NA,NA
ULZF-SEIRC19SI,https://apps.lusy.fri.uni-lj.si,NA,NA,"SEIHR model extended with compartments for hospitals, intensive care units, asymptomatic cases, separate submodels for vaccinated and unvaccinated, divided to 5 age subgroups of population",NA,"COVID-19-sledilnik, https://covid-19.sledilnik.org/en/",NA,NA,NA,NA,NA,NA,NA
UMass-SemiMech,https://github.com/dsheldon/covid,NA,NA,Bayesian semi-compartmental model with observations on incident case counts and incident deaths. Model is fit independently to each state. Model includes observation noise and a case detection rate.,See GitHub for full description,JHU -CSSEGISandData,NA,NA,NA,NA,NA,NA,NA
UNED-PreCoV2,https://precov2.org,NA,https://precov2.org/metodologia,Bayesian time series models with ARIMA noise and fixed transfer functions for each input.,NA,EsCovid19Data (https://github.com/montera34/escovid19data) and Google.,NA,NA,NA,NA,NA,NA,NA
UNIPV-BayesINGARCHX,https://periscopeproject.eu/home,NA,"Giudici, P., Tarantino, B., A Bayesian time-dependent framework to assess the effectiveness of policy measures on COVID-19 counts. Working paper 2021.",Bayesian estimation of time-dependent models with time-varying coefficients to predict COVID-19 positive counts.,"Our model accounts for uncertainty via a Bayesian framework, for time-dependence on past COVID-19 counts via an INGARCH structure and non-linearity via time-varying coefficients. In addition, time-lagged NPI covariates have been coded and incorporated into the Bayesian framework to assess whether policy measures can effectively reduce positive counts.","JHU (confirmed cases), OxCGRT (NPI covariates)",NA,NA,NA,NA,NA,NA,NA
UpgUmibUsi-MultiBayes,https://github.com/francescobartolucci/ARMultinomial,NA,NA,"Bayesian Dirichlet-Multinomial models for counts of patients in mutually exclusive and exhaustive categories such as hospitalized in regular wards and in intensive care units, deceased and recovered","We us a Bayesian Dirichlet-Multinomial autoregressive models for time-series of counts of patients in mutually exclusive and exhaustive observational categories, defined according to the severity of the patient status and the required treatment. Categories include hospitalized in regular wards (H) and in intensive care units (ICU), together with deceased (D) and recovered (R). These models explicitly formulate assumptions on the transition probabilities between these categories across time, thanks to a flexible formulation based on parameters that a-priori follow Normal distributions, possibly truncated to incorporate specific hypotheses having an epidemiological interpretation. The posterior distribution of model parameters and the transition matrices are estimated by an efficient Markov Chain Monte Carlo algorithm that also provides predictions and allows us to compute the reproduction number Rt. All estimates and predictions are endowed with an accuracy measure obtained thanks to the Bayesian approach.",NA,NA,NA,NA,NA,NA,NA,NA
USC-SIkJalpha,https://scc-usc.github.io/ReCOVER-COVID-19,https://github.com/scc-usc/ReCOVER-COVID-19,https://arxiv.org/abs/2007.05180,A heterogeneous infection rate model with human mobility for epidemic modeling. Our model adapts to changing trends and provide predictions of confirmed cases and deaths.,"We use our own epidemic model called SI-kJalpha, preliminary version of which we have successfully used during DARPA Grand Challenge 2014. Our model can consider the effect of many complexities of the epidemic process and yet be simplified to a few parameters that are learned using fast linear regressions. Therefore, our approach can learn and generate forecasts extremely quickly. On a 2 core desktop machine, our approach takes only 3.18s to tune hyper-parameters, learn parameters and generate 100 days of forecasts of reported cases and deaths for all the states in the US. The total execution time for 184 countries is 11.83s and for more than 3000 US counties is 30s. Despite being fast, the accuracy of our forecasts is on par with the state-of-the-art as demonstrated by our evaluation and benchmarking page at https://scc-usc.github.io/covid19-forecast-bench Our model is able to quickly adapt to changing trends, and the variations in parameters during different times/policies allow us to forecast different scenarios such as what would happen if we were to disregard social distancing suggestions.","JHU (cases, deaths), Our World in Data (vaccinations)",NA,NA,NA,NA,NA,NA,NA
USyd-OneModelMan,https://github.com/pmontman/covid19forec,NA,https://arxiv.org/abs/2008.00444,"A single autoregressive model fit jointly to all European time series, adding time series from the top regions across the world. A high-dimensional manifold embedding is used capture the process.","The information of multiple time series can be shared in a single model via a large dimensional manifold embedding. In addition to Europe death series, the regions with the largest average daily deaths are added to reduce the variance  of the model estimation and share information (the regions more advanced in the pandemic can help forecast the others). Each time series is time-delay embedded and stacked together before for fitting a single linear autoregressive model. The dimension of the embedding is tuned by temporal validation, the best dimension of the last 4 weeks. This methodology has been successfully applied in the ensemble forecast efforts of Spain and Australia.  See citation for detailed description and statistical properties.",JHU (reported fatalities),NA,NA,NA,NA,NA,NA,NA
UVA-Ensemble,https://biocomplexity.virginia.edu/,NA,NA,"An ensemble of multiple methods such as auto-regressive (AR)models with exogenous variables, Long short-term memory (lSTM) models,Kalman filter and PatchSim (an SEIR model).","This is a national-level (specific to DE, PL, GB in this round) multi-method model forecasting the new confirmed cases. Multiple methods include AR methods, an LSTM model(not included in this round),Kalman filters, ARIMA(not included in this round), and PatchSim(not included in this round), variant of SEIR(not included in this round). Multimethod forecasts are combined using Bayesian model averaging.",NA,NA,NA,NA,NA,NA,NA,NA
